Pressure,Bw,Bo,Bg,rhow,rhoo,rhog,viscw,visco,viscg,Rs,zg
1500,1.02527,1.20413,0.0018,62.228,49.0113,5.8267,0.52,1.7356,0.015,292.75,0.84274
2000,1.02224,1.2321,0.00133,62.4127,48.5879,8.0573,0.52,1.5562,0.0167,368,0.81258
2500,1.01921,1.26054,0.00105,62.5968,48.1774,10.2279,0.52,1.4015,0.0185,443.75,0.80017
3000,1.01621,1.29208,0.00088,62.7819,47.6939,12.2084,0.52,1.2516,0.0204,522.71,0.80443
3500,1.01321,1.32933,0.00077,62.968,47.1788,13.9421,0.52,1.1024,0.0222,619,0.8218
4000,1.01024,1.37193,0.00069,63.1531,46.5899,15.4313,0.52,0.9647,0.0241,724.92,0.84856
4500,1.00731,1.42596,0.00064,63.3374,45.5756,16.7051,0.52,0.918,0.026,818.6,0.88184
5000,1.00506,1.46387,0.0006,63.5225,45.1925,17.7994,0.52,0.92,0.0278,923.12,0.91958
5500,1.0017,1.44983,0.00057,63.7077,45.4413,18.7475,0.52,0.9243,0.0296,965.28,0.96039
6000,0.99856,1.43831,0.00055,63.8928,45.7426,19.5772,0.52,0.9372,0.0313,966.32,1
